L, R, motor_r, motor_l
649, 710, -488, 304
649, 710, -489, 304
744, 661, -490, 305
744, 661, -491, 305
744, 661, -491, 305
742, 661, -492, 306
742, 660, -493, 306
742, 660, -493, 306
736, 649, -494, 307
736, 649, -495, 307
736, 649, -496, 308
735, 670, -496, 308
735, 670, -497, 308
735, 670, -498, 308
727, 654, -498, 309
727, 654, -499, 309
727, 654, -499, 309
